Chl Code,Channel,Port Type,Port Capacity,Service,Service Type,Verification,Updated On,Actions
1138195602,6.2,GE(O),1 GBps,-,-,-,-,Add
1138195603,6.3,GE(O),1 GBps,-,-,-,-,Add
1138195604,6.4,GE(O),1 GBps,-,-,-,-,Add
1138195605,6.5,GE(O),1 GBps,-,-,-,-,Add
1138195606,6.6,GE(O),1 GBps,-,-,-,-,Add
1138195607,6.7,1GE(E),1 GBps,-,-,-,-,Add
1138195608,6.8,1GE(E),1 GBps,-,-,-,-,Add
1138195609,6.9,1GE(E),1 GBps,-,-,-,-,Add
1138195610,6.10,1GE(E),1 GBps,-,-,-,-,Add
1138195611,6.11,1GE(E),1 GBps,-,-,-,-,Add
1138195612,6.12,1GE(E),1 GBps,-,-,-,-,Add
1138195701,7.1,POWER PORT,Unknown,-,-,-,-,Add
1138195801,8.1,POWER PORT,Unknown,-,-,-,-,Add
