Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),CTD_HNV_BARUIPUR BAZAR BTS NODE 2_10.123.138.243/1.3-CTD_HNV_BARUIPUR BAZAR BTS NODE 1_10.123.138.242/1.4,CPAN DL
1.4,FE/GE(E),-,Unbound
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),BARUIPUR STATION BAZAR,BTS 4G
1.5,GE(O),1000377962_BARUIPUR_COURT_138.243/1.5_138.1/3.7_3722_,LEASED CKT
1.6,GE(O),1000293485_BRP_ADSR_138.243/1.6_138.65/3.8_3822,LEASED CKT
2.5,GE(O),CTD_HNV_BARUIPUR BAZAR BTS NODE 2_10.123.138.243/2.5-CTD_HNV_GOBINDAPUR_10.123.138.195/4.5,CPAN DL
2.6,GE(O),BARUIPUR STATION BAZAR,BTS 3G
