id,file_id,from_employee_id,to_employee_id,performed_by_user_id,action_type,remarks,created_at,action_date
49050906-431a-43dd-b19e-b65328080d23,51289c22-eeed-4b57-9de5-84d0f2e2dbda,52eaaa8e-4a7a-4368-9fd1-7fe26475990d,e2bd2111-1dc8-4c9b-8c48-2764a26f24eb,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:44:58.321312+00,2026-01-02 16:29:04.671493+00
4c64a80a-9f41-4e5a-a580-38b472ddd524,5891f315-4f9d-4f22-9171-152700463add,34b9627f-c3e5-435b-b83d-1d6769ce63fb,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,ceedaef4-18d6-46c9-9602-ee32c4d83e80,forwarded,forward,2025-12-29 17:13:19.529228+00,2026-01-02 16:29:04.671493+00
50ba401b-a937-40f3-99f2-893fa6fc349d,5891f315-4f9d-4f22-9171-152700463add,34b9627f-c3e5-435b-b83d-1d6769ce63fb,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,ceedaef4-18d6-46c9-9602-ee32c4d83e80,forwarded,forward,2025-12-29 17:12:14.814083+00,2026-01-02 16:29:04.671493+00
53941305-404a-4f99-9e16-7c3d1a2c9706,51289c22-eeed-4b57-9de5-84d0f2e2dbda,cd2bc50a-1995-4e1e-9aee-4565ab48d6ea,e2bd2111-1dc8-4c9b-8c48-2764a26f24eb,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:36:30.317736+00,2026-01-02 16:29:04.671493+00
53e3203e-417a-4216-8736-b7551d1e1665,51289c22-eeed-4b57-9de5-84d0f2e2dbda,47e7204a-4fe9-43c1-82c4-9f33d63546b4,c5682391-b240-4265-812a-2458af45cf8b,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:42:55.182788+00,2026-01-02 16:29:04.671493+00
53f6c5f9-0e7b-435f-bb02-7c3ca3aa3c44,ca33e672-bd63-45df-881d-7f3216c2b263,a122c8b9-2136-42fa-b0e2-fe77959d9bc9,696574d6-a746-4629-9737-e8fa01d96bee,c4b3b758-65ae-4223-a29e-a06b5673c736,forwarded,forwarded,2026-01-01 06:06:37.060613+00,2026-01-02 16:29:04.671493+00
645f0b1b-ae15-4310-a859-fa87af292232,51289c22-eeed-4b57-9de5-84d0f2e2dbda,a122c8b9-2136-42fa-b0e2-fe77959d9bc9,fde52b52-6ad0-4a0c-8193-3e9a7c733be9,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:46:42.946175+00,2026-01-02 16:29:04.671493+00
646dbab2-a281-44e4-aeee-3386f248bcd6,5891f315-4f9d-4f22-9171-152700463add,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,436e1759-9f21-4071-a391-bea46f81b60a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,At present 24F Unarmored OFC is not available in stores . Please justify if 48F Unarmored OFC may be laid if agreed by competent authority . ,2025-12-15 09:35:33.599991+00,2026-01-02 16:29:04.671493+00
6b82a198-a8a5-4097-a374-3bb1f8aaae0a,51289c22-eeed-4b57-9de5-84d0f2e2dbda,e2bd2111-1dc8-4c9b-8c48-2764a26f24eb,eff66b18-307a-4a73-9ee2-a4835f7afb6a,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,forwarded,2025-12-06 16:36:46.298924+00,2026-01-02 16:29:04.671493+00
6d02024f-ca90-44e6-ae7f-bae9a4fc34de,5891f315-4f9d-4f22-9171-152700463add,436e1759-9f21-4071-a391-bea46f81b60a,8ca12ad2-f62d-430f-8057-c8a1fc41c0ef,c3c65b43-f17b-4fd0-b7e4-c22853c783d6,forwarded,"As intimated in Note No. 305, 24F Unarmored OFC is presently not available in store. In view of the immediate requirement of the work and to avoid delay in providing P2P connectivity to Eastern Railway, it is proposed to lay 48F Unarmored OFC in place of 24F OFC, if agreed and approved by the competent authority.

Laying of 48F OFC will not only meet the present requirement but will also provide adequate spare fibres for future service absorption and diversion during AP Nagar Exchange shifting, thereby avoiding repeated OFC laying and additional expenditure in future up to the said location from Sonarpur ROU.

Submitted for kind consideration and approval, please.",2025-12-15 09:43:12.103735+00,2026-01-02 16:29:04.671493+00
