id,name,parent_id,status,created_at,updated_at
320dd9c8-9cf5-4fab-9f4d-1d36e92315a8,SDE/TM/BHT,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
338e2acc-f322-4bc4-a3eb-51d96b53158f,Junior Technician,,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
34d4f34f-be5d-4e67-865b-c9f0534a95d9,SDE/TM/UTP,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
35c24273-d14f-4cfd-8a70-6ba74d82748e,DGM/BA_SOUTH,b11e49e5-856e-4472-9da3-ea31db0203cb,true,2025-12-04 00:00:00+00,2025-12-04 00:00:00+00
3af172cd-1f1b-49c1-b441-e1d7d7301ce3,IFA_PGM(TX),c946a6e5-edd3-4936-ab18-81bdfaf409ca,true,2026-01-01 05:57:21.661022+00,2026-01-01 05:57:21.661022+00
3d2ec60d-3501-47cb-a41c-f3da89050cb2,JE/TM/DDM,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
3ea9a2cd-cd6d-4f15-ad6b-5d435d0f4b1f,JE/TM/PHT,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
3fd9f9be-6a82-43c7-8fd1-042826caf0d2,JTO/TM/BHL,22cc0565-b888-40ce-b717-25c6a423fc3c,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
40170256-c17c-4142-b7bc-4ab99f5994d5,SDE/TM/KGT(L/A),ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
40334e34-03d9-4f12-b83d-3c3b99dc3b3c,SDE/LA/RT/MTCE/DDM,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
40746840-7c32-42a9-ab1b-f207e83d60f9,JE/TM/MANIKTALA,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
426ac22c-ea46-46b8-a4b2-86eb2ad0a678,JE/TM/Central,764b4e06-2573-44f7-8e7a-5757e22e751d,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
42967955-f00b-4133-9984-e7a7bc96f3a3,SDE/TI/North,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
468419bf-745c-4c35-817c-29d013eea730,Deputy Manager,,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
489f41b6-a362-4b7d-a2c5-5a8de19b2eef,SDE/TM/HARINAVI-I,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
49836ab0-f0a4-4c9a-bfa4-c65d8f56ff75,DE/TI/West,8d94be4c-3299-4d21-a54c-3ffd06b160cd,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
49c12d2d-0258-403a-8c40-501a708f39b5,Private Secretary,,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
4a637295-d165-4031-832a-15ac22023e67,SDE/TI/East,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
504b4fa5-51f7-4f04-9a64-88be9508193a,Telecom Technical Assistant (TTA),,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
52a39e39-2a2c-418c-9846-0edc25b7f982,SDE/TM/BAGBAZAR,ea3d1b0e-d06a-4dd4-afb6-c59d62d6cb52,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
5373da47-8f83-4904-a0bc-3385aa760a47,Assistant General Manager (AGM),,true,2025-08-10 00:00:00+00,2025-12-04 00:00:00+00
