id,inventory_item_id,transaction_type,quantity,unit_cost_at_time,total_cost_calculated,issued_to,issue_reason,issued_date,performed_by_user_id,created_at
2b4370fb-4477-4205-825a-a1e97b43198d,45a15773-53c2-4596-b70d-de4a30b06442,RESTOCK,1,100669.00,100669.00,,Bulk Restock,2025-12-07,95dfd320-0767-4a1e-81c2-61f67f472fe2,2025-12-07 14:59:20.832444+00
544ecc18-9ff6-49e3-8933-217ea6364fa0,0a1962ec-50ae-4282-bec9-dd2b83e5f7d9,RESTOCK,1,82313.00,82313.00,,Bulk Restock,2025-12-07,95dfd320-0767-4a1e-81c2-61f67f472fe2,2025-12-07 14:59:20.832444+00
a0abe334-cace-46d5-a0da-52c445d146e9,aad0ba49-cc0a-4841-8c88-82e6c9bd9925,RESTOCK,1,155469.00,155469.00,,Bulk Restock,2025-12-07,95dfd320-0767-4a1e-81c2-61f67f472fe2,2025-12-07 14:59:20.832444+00
d14489fa-006c-4db1-ad12-8b850787348e,415aebe9-d5b2-4b32-814c-05844aacf9d0,RESTOCK,1,82313.00,82313.00,,Bulk Restock,2025-12-07,95dfd320-0767-4a1e-81c2-61f67f472fe2,2025-12-07 14:59:20.832444+00
