id,route_name,sn_id,en_id,ofc_type_id,capacity,ofc_owner_id,current_rkm,transnet_id,transnet_rkm,asset_no,maintenance_terminal_id,commissioned_on,remark,status,created_at,updated_at
65a5bae5-79cb-4d48-a392-878dc9307a3a,SITAKUNDU - RAMNAGAR 1 GP,69b3cd60-ce89-43b4-ac1f-4671fc02d081,9b8b4fb4-5ba8-401d-8f53-a05bb7610b11,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.033,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,F1,true,,2025-10-29 00:00:00+00
69d3440a-78cf-4c54-8764-47329a064bd5,MADARHAT - MADARHAT GP,10bf798c-c44f-43ed-8513-41c633434f90,cad123ff-e83b-48c3-b550-338955285c60,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.312,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,F1,true,,2025-10-29 00:00:00+00
6bf5f2d9-ab51-4362-91b2-e50234e0fb8f,GOBINDAPUR BYPASS J/C – GOBINDAPUR,5a344f14-e7b2-47a4-ad26-13219049f000,badf80cb-ccc2-47f9-8dc4-82e32733b251,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.700,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,LENGTH EXPECTED NOT ACTUAL,true,,2025-10-29 00:00:00+00
6bfbdaa5-6f0d-4c1a-b925-69b30606da82,SUGAM PARK -BJC SUGAM PARK,e1cf5cd0-7692-45ee-83d2-cfdc6d8843ef,f77adbaf-26ac-4c18-b988-d8df8d6d6f29,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.300,170674,0.310,,4bc2a086-b131-47e1-9c20-f10650c0196d,2014-08-10,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
6ed85675-53f4-45ee-890a-1beb87777618,BJC CHAMPAHATI - CHAMPAHATI GP,61e86d59-3750-4828-a290-8c4ec7573553,bea33b43-76eb-460b-be4f-9493c5915b95,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.165,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,CHAMPAHATI MORE BSNL U/G JC(3-4) - CHAMPAHATI GP(1-2) & CHAMPAHATI GP(3-4) TO CHAMPAHATI MORE BSNL U/G JC(3-4) OF OTHER SIDE,true,,2025-10-29 00:00:00+00
6f97a3d7-1f30-4132-8ce2-ad3c04d0ecbc,BARUIPUR BHQ - KUMARHAT EXCHANGE,2a5c8bd0-327a-4ef7-8a46-bdcbef37651a,3c920b3f-4394-4641-9a07-f2e5f5518526,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,5.455,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,BARUIPUR BHQ(5-8) - KUMARHAT EXCHANGE(1-4),true,,2025-10-29 00:00:00+00
7034f54e-e26e-4863-8695-c823c4b267fc,BARUIPUR DRDO SERVER ROOM – BJC TONGTALA MORE-01,1aeeac44-6574-4a1e-b796-a1598890b74e,23c38fd1-2741-4d88-a8df-868465f1849c,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.450,237645,1.450,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
709b49b0-eb0f-47be-922f-8504de6be564,BARUIPUR RAIL CROSSING BTS⇔BJC PADMAPUKUR_1,25fefca1-ae6f-4e01-8051-087a94373b9d,b914a33a-bae2-4481-818e-e66bafe8656a,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.900,258515,0.900,990500924977,4bc2a086-b131-47e1-9c20-f10650c0196d,,DPR,true,2025-12-29 10:12:07.817534+00,2025-12-29 11:53:06.258772+00
714965f9-858a-4bc6-aa63-3be8b7d2cf68,SHIKHARBALI II GP - SHIKHARBALI I GP,536b698f-a0e9-45b7-be88-3fa46438083f,8920d1b2-143d-4c51-8b81-51aa71a22cca,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,3.287,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
7168bbd0-f93f-4602-a1e3-41899cb69518,JC 2 NEAR AP NAGAR - JC NEAR KALIKAPUR 1,dd13e53c-713a-4219-9ff1-463bd616523f,0453d83b-1c16-42b3-b487-f23ca1294795,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,5.250,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
71a8705e-2b81-4fc9-864a-6a1489d93451,BARUIPUR BHQ - RAMNAGAR 2 GP,2a5c8bd0-327a-4ef7-8a46-bdcbef37651a,15f9295e-0909-4a8c-8d50-5dd161639344,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,3.038,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,"BARUIPUR BHQ(3,4) - RAMNAGAR 2(3,4) ",true,,2025-10-29 00:00:00+00
71cd77ae-7328-4493-9051-dc276431c5f0,GOBINDAPUR - HARIHARPUR GP,badf80cb-ccc2-47f9-8dc4-82e32733b251,6d2a25b4-5429-4a9a-8884-6087ad83c2c1,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,1.622,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
7307c615-b912-449b-8a71-a566c115a982,JC NEAR AP NAGAR - AP NAGAR,425e962e-64c6-45a5-9a6c-be52361519e3,54bc2231-880b-4ba6-ba6e-4d3cb594052b,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.589,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
733761af-2425-42b8-9f65-97a187d0be47,GOBINDAPUR – PADMAPUKUR-01,badf80cb-ccc2-47f9-8dc4-82e32733b251,b23799ac-04a7-4a2c-a6ce-2676971cbc2f,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,2.990,170304,3.000,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-07-18,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
752756c6-e9e7-495c-b027-faaa43f615c9,BJC BARUIPUR DUTTAPARA BTS – BARUIPUR MOTHERHUT I BTS-01,4d2b0dc9-f63a-4a6d-8fdc-ddb7d44875a7,6f41170b-1bdb-4007-98a4-a5f7cd1ab418,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.400,250135,1.400,990500904106,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
757f6f76-348d-43b1-a6b4-91c1f931b8a8,JC NEAR KHEYADAH 1 – Kheyadaha-I,96a3c282-7caa-452f-b11f-6df458ee0a15,be137ca3-f4f4-424b-b208-536d70486ed3,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,0.200,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,,2025-10-29 00:00:00+00
75a49d85-fa43-42f5-a5cc-9106633fd7a9,BJC CHAMPAHATI - SOUTH GARIA GP,61e86d59-3750-4828-a290-8c4ec7573553,7a2ce0a0-5faa-4b10-8f22-ecfe68cdb525,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,1.597,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,CHAMPAHATI MORE BSNL U/G JC(5-6) - SOUTH GARIA GP(1-2) & SOUTH GARIA (3-4) TO CHAMPAHATI MORE BSNL U/G JC(5-6) OF OTHER SIDE,true,,2025-10-29 00:00:00+00
77eb3633-6dc2-45e1-8d32-5f1d7e360151,SONARPUR NATUNPALLY (GHASIRA SCHOOL) BTS – BJC OH JT ROLL OF ONGC CENTRAL AP NAGAR,cb8918d3-ef72-4754-9c68-876edf4ae1d3,fdf6b770-268f-4f5a-93f4-0950fcaf6995,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.850,255207,0.850,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
7b4167f2-aa01-4be3-bbf7-89ef56138c8c,JOGIBARTALA BTS-BJC JOGIBARTALA-01,dea33be8-45f3-4823-9366-654f63ba67f2,07563e90-2a37-4a21-beaa-7d55148e4d5e,e137552b-9ae2-442b-bcc2-c435d7d64ba1,12,ad3477d5-de78-4b9f-9302-a4b5db326e9f,1.480,170691,0.200,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
7bca6102-3d4b-4b90-80ac-fd1b06b635e0,SONARPUR – AWANTIPUR,4dd05c04-dddb-44df-ab90-0b95b3ee5f11,c56c403c-c441-49ff-bbdc-b6d36b364d0c,1b3fc06b-9948-4232-8a2c-caec58f780aa,48,ad3477d5-de78-4b9f-9302-a4b5db326e9f,9.030,170314,9.080,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2026-01-02 14:39:59.046541+00
7cf76cf8-6377-43cc-9f4c-29a49fca7049,HNV PCM 1ST FLOOR -SUBHASGRAM-02,45f1a024-b36f-465a-8896-125399380cb6,bc11bc30-dc0e-4dd6-86bc-d8f4ea149d1b,2ecb77f4-d9ff-4300-ab99-6118ad220ce1,48,ad3477d5-de78-4b9f-9302-a4b5db326e9f,3.080,173955,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
7f8cb39d-e7f0-49d0-8f26-b37769db79d5,BJC SASAN ROAD OH JOINT-SASAN BARUIPUR BTS-01,817db3ce-e914-40cb-a509-e2b12c7ac189,3019cb42-9dca-4eaf-a349-2e4c0fae92e2,2ecb77f4-d9ff-4300-ab99-6118ad220ce1,48,ad3477d5-de78-4b9f-9302-a4b5db326e9f,0.820,244598,0.820,,4bc2a086-b131-47e1-9c20-f10650c0196d,,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
8072465f-2405-4c73-a1fe-3749eb8bff89,UTTARBAGH MORE JC-HARDAH GP,bb6d8d1f-0e0a-4fae-b764-ec9c469988b6,1ffbaa82-a4f5-4760-aa46-64e909c322de,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,4.813,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,RAMNAGAR2(5-8)  - UTTARBHAG JC(5-8) - HARDAH(1-4),true,,2025-10-29 00:00:00+00
80d43b30-9cd8-4d70-9ff0-a0c14c749009,FULTALA MORE JC – SITAKUNDU,4a7811fb-7b7b-4b46-8d8b-38205c6fe58f,69b3cd60-ce89-43b4-ac1f-4671fc02d081,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,2.498,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,FULTALA MORE JC(9-12) - SITAKUNDU EXCHANGE(1-4),true,,2025-10-29 00:00:00+00
80f0974f-fc82-4a88-9401-c1a28e9fb796,JADAVPUR – KAMALGAZI BTS-01,41355205-b6db-4d38-bebf-9f0cf2998f64,abfa36d3-d0ed-486e-8f97-62651f7a9b9e,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,ad3477d5-de78-4b9f-9302-a4b5db326e9f,11.720,155960,11.800,,4bc2a086-b131-47e1-9c20-f10650c0196d,2003-06-23,,true,2025-08-19 00:00:00+00,2025-10-29 00:00:00+00
81ee37ce-1a16-458c-8f52-7ec6865d2ccd,KUMARHAT EXCHANGE - SANKARPUR I GP,3c920b3f-4394-4641-9a07-f2e5f5518526,88b7e61d-0d1c-4aea-bda0-23164ff9ed2f,84e8ba18-eedc-4eae-aaa4-e6a82400849d,24,e40c2549-11ec-485d-a67a-8261fcaec68a,3.279,,,,4bc2a086-b131-47e1-9c20-f10650c0196d,,"KUMARHAT EXCHANGE(1,2) - SANKARPUR I GP(1,2)",true,,2025-10-29 00:00:00+00
