Channel,Port Type,Service,Type
1.1,E1,-,Unbound
1.2,E1,-,Unbound
2.1,E1,-,Unbound
2.2,E1,-,Unbound
1.3,FE/GE(E),SARMASTAPUR,BTS 2G
1.3,FE/GE(E),SARMASTAPUR,BTS 3G
1.4,FE/GE(E),SARMASTAPUR,BTS 4G
2.3,FE/GE(E),-,Unbound
2.4,FE/GE(E),-,Unbound
1.5,GE(O),CTD_HNV_DAKSHIN CHOWHATI_10.123.138.209/2.5-CTD_HNV_SARMASTAPUR_10.123.138.210/1.5,CPAN DL
1.6,GE(O),-,Unbound
2.5,GE(O),-,Unbound
2.6,GE(O),CTD_HNV_CHOWHATI POLEHAT BTS_10.123.138.250/2.6-CTD_HNV_SARMASTAPUR_10.123.138.210/2.6,CPAN DL
