id,name,ring_type_id,description,maintenance_terminal_id,total_nodes,is_closed_loop,topology_config,ofc_status,spec_status,bts_status,status,created_at,updated_at
96bb958d-22bf-41b3-ba66-e5cb6fd12644,ADM16/R-131,cc3cebe7-5419-4806-8d3a-6405cf00ecbb,,4bc2a086-b131-47e1-9c20-f10650c0196d,4,,,Pending,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
9cc133bd-d206-4fc4-b0d8-5fb7cdd1e5c2,HNV-23,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-green-600"">OFC STATUS:</strong> CO-LOCATED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,5,,"{""disabled_segments"":[""38f528b7-306d-4627-a2bc-775b2e01d01f-9ce5929c-3cb3-401f-abe5-7bd9e73db778"",""9ce5929c-3cb3-401f-abe5-7bd9e73db778-1db6aeda-5c31-4e1c-9cfe-45376970805f"",""1db6aeda-5c31-4e1c-9cfe-45376970805f-48f0b92e-bd96-4ae6-bc13-6a94ecc754c5"",""b5bfbef5-356c-499b-ad2b-351b7ed6a845-38f528b7-306d-4627-a2bc-775b2e01d01f"",""48f0b92e-bd96-4ae6-bc13-6a94ecc754c5-b5bfbef5-356c-499b-ad2b-351b7ed6a845""]}",Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
a36dd652-8850-4872-93f0-339e8d907754,HNV-05,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,4,,"{""disabled_segments"":[""3019cb42-9dca-4eaf-a349-2e4c0fae92e2-b5bfbef5-356c-499b-ad2b-351b7ed6a845"",""3019cb42-9dca-4eaf-a349-2e4c0fae92e2-45b41c2d-54cf-42a9-b134-239d96bb7c5a""]}",Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
b1e5c1f2-2463-4dc9-99c2-6117dfec12b1,linear_bts,2970fab5-24ed-47d3-b0c1-42aca2d11c79,,4bc2a086-b131-47e1-9c20-f10650c0196d,0,,,Pending,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
b2f50b65-79a6-4ef9-91a9-281253381db0,HNV-17,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,3,,,Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
b4351719-d26e-4b77-81df-8e359bb50504,HNV-13,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,3,,,Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
c3415dbb-82fc-4c57-bbc7-030774d70494,HNV-08,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY WITH CPAN FIBRE",4bc2a086-b131-47e1-9c20-f10650c0196d,6,,,Partial Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
c920722b-07b8-4003-984e-2b9988cc601b,MAAN-21,18429ead-ad6a-46aa-8155-2b418cb5def5,,30be8eeb-ec4f-4ce2-9935-b249e70caaec,0,,,Pending,Pending,Pending,true,2025-10-17 00:00:00+00,2025-12-07 14:47:42.429833+00
d1fd3f87-3f00-472f-9c09-b27c592fcde3,HNV-19,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-green-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,2,,,Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
d370d0f5-b147-4417-b32a-92ebf711f4f7,ADM16/R-135,cc3cebe7-5419-4806-8d3a-6405cf00ecbb,,4bc2a086-b131-47e1-9c20-f10650c0196d,3,,,Pending,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
d60d5adb-08af-47f6-a7c5-2c1daabed492,HNV-09,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-green-600"">SPEC STATUS:</strong> ISSUED Vide: TP/Inst. Prg/02_25/22_Revised DATED: 17-09-2025<br />
<strong class=""text-green-600"">BTS STATUS:</strong> ON AIR<br />
<strong class=""text-amber-600"">NOT INCLUDED IN SPEC:</strong> Dakshin Bonhoogly<br />
<strong class=""text-blue-600"">OFC STATUS:</strong> BOTH PRANA BORAL AND D BONHOOGLY BTS ON AIR FROM BORAL MAAN,OFC JOB PENDING BTN DAKSHIN BONHOOGLY AND BORAL MAAN<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,3,,,Ready,Issued,On-Air,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
d754eb42-3981-4173-9d9d-3d98af98cfdd,HNV-20,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY BUT NEED TO BE CHECKED<br />
<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,4,,,Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
d8836bb7-2f9c-484f-89ef-6d5cd6f4f51c,HNV-02,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> READY<br />
<strong class=""text-green-600"">SPEC STATUS:</strong> ISSUED Vide: TP/Inst. Prg/11_25/30 DATED: 22-11-2025<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,5,,,Ready,Issued,Configured,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
d95f0c5e-10b5-4657-a6b2-2b894c6c5b08,HNV-01,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-blue-600"">OFC STATUS:</strong> OFC NOT READY FROM MAHI TO GDP.CPAN OFC CAN BE USED<br />
<strong class=""text-green-600"">SPEC STATUS:</strong> ISSUED Vide: TP/Inst. Prg/10_25/02 DATED: 06-10-2025<br />
<strong class=""text-green-600"">BTS STATUS:</strong> ON AIR<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,6,,,Partial Ready,Issued,On-Air,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
db39d5c1-936b-476b-94df-f120aedb18fe,ADM16/R-137,cc3cebe7-5419-4806-8d3a-6405cf00ecbb,,4bc2a086-b131-47e1-9c20-f10650c0196d,6,,,Pending,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
e996fc48-1f78-4ca3-a2ba-ed1f3afa8755,HNV-15,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />
<strong class=""text-blue-600"">OFC STATUS:</strong> OFC READY UPTO NDP-II, DPR JOB PENDING,NEED OFC JOINT FOR FURTHER BTS ON ROUTE.<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,6,,,Pending,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
ea5a641a-0f55-40ad-bd7d-085aa2192c05,HNV-07,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />
<strong class=""text-green-600"">OFC STATUS:</strong> READY WITH CPAN FIBER<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,4,,,Partial Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
f16f583e-5167-4c39-9436-80555517c187,MAAN-20,18429ead-ad6a-46aa-8155-2b418cb5def5,,30be8eeb-ec4f-4ce2-9935-b249e70caaec,6,,,Pending,Pending,Pending,true,2025-10-17 00:00:00+00,2025-12-07 14:47:42.429833+00
f2d12fde-7958-4a5f-91e8-6a7a8d9b89ce,ADM16/R-136,cc3cebe7-5419-4806-8d3a-6405cf00ecbb,,4bc2a086-b131-47e1-9c20-f10650c0196d,6,,,Pending,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
fb724801-3a0a-40fe-9bda-d34a8780a984,HNV-10,18429ead-ad6a-46aa-8155-2b418cb5def5,"<strong class=""text-red-600"">SPEC STATUS:</strong> NOT ISSUED<br />
<strong class=""text-green-600"">OFC STATUS:</strong> OFC READY WITH CPAN FIBRE<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,6,,,Partial Ready,Pending,Pending,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
fe485021-8891-4bbf-9735-b6db287c831f,VIA_HNV_CPAN,0dfc3ef0-d661-458a-b0b7-2b8b0975b6dd,"<strong class=""text-green-600"">OFC STATUS:</strong> Co-Located, Via Radio Link<br />
<strong class=""text-green-600"">SPEC STATUS:</strong> ISSUED Vide: TP/Inst. Prg/02_25/20_Revised DATED: 06-03-2025<br />
<strong class=""text-green-600"">BTS STATU:</strong> On Air<br />
<strong class=""text-amber-600"">Included Sites:</strong> Ghospara Darir Road, Mollikpur Sitala Mandir, Narendrapur-III, Sonarpur South, Subhasgram, Subhasgram Panchghara, Subhashgram Petua<br />",4bc2a086-b131-47e1-9c20-f10650c0196d,5,,"{""disabled_segments"":[""53797415-2c34-4f84-a415-404932486c96-c38d739c-c0b8-40ed-b18f-b58a59647962""]}",Ready,Issued,On-Air,true,2025-08-11 00:00:00+00,2025-12-07 14:47:42.429833+00
